topology,payoff,benefit,beta,mutation,init_c,sim,t,c
rrg,acc,1.005,10,0,0.2,1,172000,0.576
rrg,acc,1.005,10,0,0.2,1,173000,0.576
rrg,acc,1.005,10,0,0.2,1,174000,0.564
rrg,acc,1.005,10,0,0.2,1,175000,0.581
rrg,acc,1.005,10,0,0.2,1,176000,0.564
rrg,acc,1.005,10,0,0.2,1,177000,0.574
rrg,acc,1.005,10,0,0.2,1,178000,0.562
rrg,acc,1.005,10,0,0.2,1,179000,0.566
rrg,acc,1.005,10,0,0.2,1,180000,0.582
rrg,acc,1.005,10,0,0.2,1,181000,0.589
rrg,acc,1.005,10,0,0.2,1,182000,0.594
rrg,acc,1.005,10,0,0.2,1,183000,0.594
rrg,acc,1.005,10,0,0.2,1,184000,0.597
rrg,acc,1.005,10,0,0.2,1,185000,0.578
rrg,acc,1.005,10,0,0.2,1,186000,0.577
rrg,acc,1.005,10,0,0.2,1,187000,0.596
rrg,acc,1.005,10,0,0.2,1,188000,0.585
rrg,acc,1.005,10,0,0.2,1,189000,0.581
rrg,acc,1.005,10,0,0.2,1,190000,0.588
rrg,acc,1.005,10,0,0.2,1,191000,0.588
rrg,acc,1.005,10,0,0.2,1,192000,0.588
rrg,acc,1.005,10,0,0.2,1,193000,0.585
rrg,acc,1.005,10,0,0.2,1,194000,0.574
rrg,acc,1.005,10,0,0.2,1,195000,0.574
rrg,acc,1.005,10,0,0.2,1,196000,0.563
rrg,acc,1.005,10,0,0.2,1,197000,0.575
rrg,acc,1.005,10,0,0.2,1,198000,0.59
rrg,acc,1.005,10,0,0.2,1,199000,0.579
rrg,acc,1.005,10,0,0.2,1,200000,0.572
rrg,acc,1.005,10,0,0.2,1,201000,0.588
rrg,acc,1.005,10,0,0.2,1,202000,0.584
rrg,acc,1.005,10,0,0.2,1,203000,0.576
rrg,acc,1.005,10,0,0.2,1,204000,0.578
rrg,acc,1.005,10,0,0.2,1,205000,0.577
rrg,acc,1.005,10,0,0.2,1,206000,0.585
rrg,acc,1.005,10,0,0.2,1,207000,0.593
rrg,acc,1.005,10,0,0.2,1,208000,0.599
rrg,acc,1.005,10,0,0.2,1,209000,0.601
rrg,acc,1.005,10,0,0.2,1,210000,0.609
rrg,acc,1.005,10,0,0.2,1,211000,0.615
rrg,acc,1.005,10,0,0.2,1,212000,0.62
rrg,acc,1.005,10,0,0.2,1,213000,0.623
rrg,acc,1.005,10,0,0.2,1,214000,0.636
rrg,acc,1.005,10,0,0.2,1,215000,0.631
rrg,acc,1.005,10,0,0.2,1,216000,0.637
rrg,acc,1.005,10,0,0.2,1,217000,0.614
